docid,volid,recordid,author,firstname,inferreddate,birthdate,authgender,enumcron,title,genre
mdp.39015051771882,mdp.39015051771882,3863196,"Chāt Kō̜pčhitti,",Chāt Kō̜pčhitti,2002,1962,u,,Mad dogs & Co / | $c: Chart Korbjitti ; translated from the Thai by Marcel Barang.,
mdp.39015041774673,mdp.39015041774673,3239662,"Epton, Nina Consuelo.",Nina Consuelo,1996,1956,f,,Beloved Empress Mumtaz Mahal : | a historical novel / | $c: Nina Epton.,
mdp.39015008466735,mdp.39015008466735,1059759,"Leonov, Leonid,",Leonid,1936,1899,u,,Skutarevsky / | $c: by Leonid Leonov ;translated by Alec Brown.,
mdp.39015054089589,mdp.39015054089589,3779638,"Rice, Anne,",Anne,1979,1939,f,,The feast of All Saints / | $c: Anne Rice.,
mdp.39015050608044,mdp.39015050608044,822018,"Middleton, Stanley,",Stanley,1986,1919,m,,An after-dinner's sleep / | $c: Stanley Middleton.,
uc1.$b406358,uc1.$b406358,9365739,"Brown, Lillian.",Lillian,1951,1911,f,,Cleopatra slept here; | illustrated by the Strimbans.,
mdp.39015064097697,mdp.39015064097697,5109615,"Śṟīkanṭhannāyar, Si. En.,",Si. En,2005,1965,u,,Retelling the Ramayana : | voices from Kerala / | $c: C.N. Sreekantan Nair & Sarah Joseph ; translated from the Malayalam by Vasanthi Sankaranarayanan.,
mdp.39015029507400,mdp.39015029507400,762194,"Mitchell, W. O. (William Ormond),",W. O. William Ormond,1981,1914,m,,How I spent my summer holidays : | a novel / | $c: by W.O. Mitchell.,
uc1.b3477900,uc1.b3477900,6663130,"Barron, D. G. (Donald Gabriel)",D. G. Donald Gabriel,1969,1929,m,,The man who was there | $c: [by] Donald Barron.,
pst.000027234310,pst.000027234310,12279778,"Price, Eugenia.",Eugenia,1969,1929,f,,New moon rising.,
inu.39000003007981,inu.39000003007981,6062444,"Flather, Horace.",Horace,1976,1936,m,,Thaba Rau / | $c: Horace Flather.,
uc1.$b85976,uc1.$b85976,6592651,"Beresford-Howe, Constance.",Constance,1947,1907,f,,"Of this day's journey, | $c: Constance Beresford-Howe.",
uc1.$b794981,uc1.$b794981,592238,"Leacock, Stephen,",Stephen,1938,1869,m,,"Model memoirs and other sketches from simple to serious, | $c: by Stephen Leacock.",
uc1.b3847272,uc1.b3847272,6733311,"Asomugha, Chibuzo.",Chibuzo,1992,1952,u,,Strings / | $c: Chibuzo Asomugha.,
pst.000033759876,pst.000033759876,8160933,"Yang, William,",William,1990,1950,m,,"BodyWork : | confessions from the funeral trade / | $c: William Yang, photographs ; Chris Pip, text.",nonfic
inu.32000005570546,inu.32000005570546,6063848,"Kipling, Rudyard,",Rudyard,1934,1865,m,,Collected dog stories. | $c: Illus. by G. L. Stampa.,
uc1.$b59018,uc1.$b59018,6577422,"Stone, William Standish,",William Standish,1946,1906,m,,"Tahiti landfall, | $c: by William S. Stone; decorations by Nicolas Mordvinoff, photographs by Prudence and Igor Anziferoff Allan.",
mdp.39015030042892,mdp.39015030042892,1188730,"Winslow, Thyra Samter,",Thyra Samter,1932,1892,u,,"Blueberry pie and other stories, | $c: by Thyra Samter Wilson.--",
mdp.39015028871807,mdp.39015028871807,2801555,"Smith, Scott B.",Scott B,1993,1953,m,,A simple plan : | a novel / | $c: by Scott Smith.,
uc1.$b56408,uc1.$b56408,6575867,"Cooke, Charles,",Charles,1938,1898,m,,"Big show, | $c: by Charles Cooke.",
mdp.39015032647722,mdp.39015032647722,1194821,"Viereck, George Sylvester,",George Sylvester,1928,1884,m,,My first two thousand years : | the atobiography of the Wandering Jew.,
inu.30000118322373,inu.30000118322373,6946435,"Zobarskas, Nola M.",Nola M,1964,1924,f,,"The mountain doves, | and other African folk tales. | $c: Edited by Nola M. Zobarskas. Illus. by Pramas Lapė. Foreword by Clarence R. Decker.",
mdp.39015038906601,mdp.39015038906601,1187146,"Thomas, Audrey Callahan.",Audrey Callahan,1970,1930,f,,Mrs. Blood.,
mdp.39015052372482,mdp.39015052372482,3511219,,,2000,1960,u,,Contemporary Gujarati short stories : | an anthology / | $c: edited by Kishore Jadav with critical introduction.,
uc1.$b56187,uc1.$b56187,6575719,"Purcell, Patrick A.",Patrick A,1946,1906,m,,"The quiet man, | $c: by Patrick Purcell.",
pst.000010830468,pst.000010830468,9812994,"Fast, Julius,",Julius,1983,1919,m,,"Sexual chemistry : | what it is, how to use it / | $c: by Julius Fast and Meredith Bernstein.",nonfic
inu.39000005013748,inu.39000005013748,6931521,"Philip, Neil.",Neil,1989,1949,m,,The Cinderella story / | $c: Neil Philip,
mdp.39015000643026,mdp.39015000643026,303149,"Monsarrat, Nicholas,",Nicholas,1951,1910,m,,The cruel sea.,
mdp.39015002756834,mdp.39015002756834,1377848,"Saroyan, William,",William,1937,1908,m,,Little children.,
inu.39000001015085,inu.39000001015085,7022529,"Antonov, S. F. (Sergeĭ Fedorovich),",S. F. Sergeĭ Fedorovich,1984,1944,u,,A light in the distance : | stories about Lenin / | $c: Sergei Antonov ; [translated from the Russian by Tracy Kuehn].,
mdp.39015016986682,mdp.39015016986682,1945228,"(Keng Thye) Woo, K.T.",K.T,1989,1949,u,,Encounter and other stories / | $c: Woo Keng Thye.,
uc1.$b102374,uc1.$b102374,6601787,"Koning, Hans.",Hans,1958,1918,m,,The affair.,
mdp.39015022281169,mdp.39015022281169,2534257,"Drakulić, Slavenka,",Slavenka,1992,1952,u,,Holograms of fear / | $c: Slavenka Drakulić.,
mdp.39015033350110,mdp.39015033350110,725607,"Sutherland, Margaret.",Margaret,1976,1936,f,,The love contract / | $c: Margaret Sutherland.,
mdp.39015047770618,mdp.39015047770618,632476,"Frye, John,",John,1985,1945,m,,"North to Thule : | an imagined narrative of the famous ""lost"" sea voyage of Pytheas of Massalia in the fourth century B.C. / | $c: John and Harriet Frye ; illustrations by Harriet Frye.",
uc1.b3554695,uc1.b3554695,6673795,"Johnson, E. W. (Edward Warren),",E. W. Edward Warren,1969,1929,m,,Short stories international | $c: [compiled by] E. W. Johnson.,
uc1.b4088425,uc1.b4088425,1443644,,,1929,1889,u,,Schlump; | the story of a German soldier told by himself; | $c: translated from the German by Maurice Samuel.,
mdp.39015019629107,mdp.39015019629107,2426033,"Thornton, Lawrence,",Lawrence,1990,1950,m,,Under the gypsy moon : | a novel / | $c: by Lawrence Thornton.,
mdp.39015052624841,mdp.39015052624841,3518612,"Nair, Anita.",Anita,1999,1959,f,,The better man / | $c: Anita Nair.,
uc1.b4927749,uc1.b4927749,9494250,,,1981,1941,u,,The road to Brightcity and other stories / | $c: Mairtin O Cadhain ; translated from the Irish by Eoghan O Tuairisc.,
mdp.39015042819410,mdp.39015042819410,4010983,"González, Genaro,",Genaro,1998,1958,m,,The Quixote cult / | $c: Genaro González.,
mdp.39015031941621,mdp.39015031941621,466944,"Solberg, Gunard.",Gunard,1969,1929,u,,Shelia.,
mdp.39015063918158,mdp.39015063918158,205373,"Fletcher, J. S. (Joseph Smith),",J. S. Joseph Smith,1925,1863,m,,"False scent, | $c: by J. S. Fletcher.",
uc1.$b245093,uc1.$b245093,6499237,"Van Doren, Mark,",Mark,1935,1894,m,,"The transients, | $c: by Mark Van Doren.",
uc1.32106001690483,uc1.32106001690483,7123126,"Kielty, Bernardine.",Bernardine,1947,1907,f,,"A treasury of short stories; | favorites of the past hundred years from Turgenev to Thurber, from Balzac to Hemingway; with biographical sketches of the authors. | $c: Edited by Bernardine Kielty.",
pst.000061286740,pst.000061286740,9819832,"Kimmel, Eric A.",Eric A,2006,1966,m,,The lady in the blue cloak : | legends from the Texas missions / | $c: retold by Eric A. Kimmel ; illustrated by Susan Guevara.,
mdp.39015011253112,mdp.39015011253112,472080,"Benét, Stephen Vincent,",Stephen Vincent,1942,1898,m,v.2,Selected works of Stephen Vincent Benét ...,
inu.32000002872937,inu.32000002872937,1417443,"(Archibald Joseph), Cronin, A. J.",Cronin A. J,1937,1896,u,,The citadel.,
mdp.39015055467966,mdp.39015055467966,3795294,"Lerner, Ted.",Ted,1999,1959,m,,"Hey, Joe : | a slice of the city, an American in Manila-- / | $c: Ted Lerner.",
miun.aje0467.0001.001,miun.aje0467.0001.001,1910027,"Dreiser, Theodore,",Theodore,1928,1871,m,,"The ""genius"", / | $c: by Theodore Dreiser.",
mdp.39015059159205,mdp.39015059159205,4737527,"Dick, Philip K.",Philip K,2004,1964,m,,Vulcan's hammer / | $c: by Philip K. Dick.,genre
mdp.39015058523633,mdp.39015058523633,1869136,"Harper-Collins, R S",R S,1943,1903,u,,"The opportunists, and other Burma tales, | $c: by ""Snilloc"".",
mdp.39015035804684,mdp.39015035804684,246886,"Payne, Elisabeth Stancy.",Elisabeth Stancy,1930,1890,f,,"Easy street, | $c: by Elizabeth Stancy Payne.",
mdp.39015052548800,mdp.39015052548800,3862758,"Hamid, Shamim.",Shamim,2002,1962,u,,Zuleikha's Dream and other stories / | $c: Shamim Hamid.,
mdp.39015061750819,mdp.39015061750819,4725047,"Dunbar, Wylene.",Wylene,2004,1964,f,,My life with corpses / | $c: Wylene Dunbar.,
mdp.39076000863071,mdp.39076000863071,9911358,"Lattimore, Eleanor Frances,",Eleanor Frances,1958,1904,f,,"Happiness for Kimi, | $c: written and illustrated by Eleanor Frances Lattimore.",
uc1.32106019169157,uc1.32106019169157,5408789,"Harris, Thomas,",Thomas,2006,1966,m,,Hannibal rising : | a novel / | $c: by Thomas Harris,
mdp.39015053117845,mdp.39015053117845,3573753,"Cornwell, Patricia Daniels.",Patricia Daniels,2001,1961,f,,Isle of dogs / | $c: Patricia Cornwell.,
inu.30000067783708,inu.30000067783708,9677387,"McOmber, Adam.",Adam,2001,1961,m,,The animal room / | $c: Adam McOmber.,
uc1.$b787222,uc1.$b787222,9954021,"Mitchell, Mary,",Mary,1949,1893,f,,Black crusade / | $c: by Mary Mitchell.,
osu.32435063107387,osu.32435063107387,100825373,"De Ruischer, Cornelius,",Cornelius,1954,1914,m,,The dawn came late.,
mdp.39015065973151,mdp.39015065973151,1474398,"Haldane, Charlotte.",Charlotte,1926,1886,f,,"Man's world,",
uc1.32106018018066,uc1.32106018018066,7145553,"Caldwell, Joseph,",Joseph,1993,1953,m,,The uncle from Rome / | $c: Joseph Caldwell,
pst.000006159320,pst.000006159320,9815438,"Nathan, Robert,",Robert,1958,1894,m,,So love returns.,
uc1.b3710978,uc1.b3710978,10147171,"Beck, L. Adams (Lily Adams),",L. Adams Lily Adams,1928,1888,f,,"The empress of hearts, | $n: by E. Barrington.",
mdp.39015008563036,mdp.39015008563036,354950,"Arlen, Michael,",Michael,1931,1895,m,,"Men dislike women, | a romance.",
uc1.b2800520,uc1.b2800520,7315004,"La Capria, Raffaele,",Raffaele,1964,1924,m,,The mortal wound / | $c: by Raffaele La Capria ; translated by Marguerite Waldman.,
uc1.$b80883,uc1.$b80883,6589527,"Pozner, Vladimir,",Vladimir,1938,1905,u,,"Bloody Baron, | the story of Ungern-Sternberg, | $c: by Vladimir Pozner; translated from the French by Warre Bradley Wells.",nonfic
mdp.39015033583215,mdp.39015033583215,1220002,"Silone, Ignazio,",Ignazio,1953,1900,u,,A Handful of blackberries / | $c: by Ignazio Silone ; translated by Darina Silone.,
inu.39000002201098,inu.39000002201098,9401098,"Traven, B.",B,1979,1939,u,,The cotton-pickers / | $c: B. Traven.,
mdp.39015040721345,mdp.39015040721345,3143738,"Hofmann, Gert.",Gert,1995,1955,u,,The film explainer / | $c: Gert Hofmann ; translated from the German by Michael Hofmann.,
mdp.39015000595713,mdp.39015000595713,717062,"Oren, Abba.",Abba,1975,1935,u,,"The kibbutz of the ""Good Earth"" and global communism : | as documented by Dr. Randel A Mc Donald / | $c: Abba Oren.",nonfic
mdp.39015016435607,mdp.39015016435607,438532,"Hinde, Thomas,",Thomas,1953,1913,m,,Mr. Nicholas | $c: [by] Thomas Hinde.,
mdp.49015002826510,mdp.49015002826510,4544804,"Cussler, Clive.",Clive,1988,1948,m,,Treasure : | a novel / | $c: Clive Cussler.,
pst.000006706227,pst.000006706227,7025701,"Phillpotts, Eden,",Eden,1927,1862,m,v.9,Eden Phillpotts's Dartmoor novels ... / | $c: [with an introduction by Arnold Bennett.,
uc1.$b300320,uc1.$b300320,6533649,"Gale, Zona,",Zona,1927,1874,f,,"Yellow gentians and blue, | $c: by Zona Gale.",
mdp.39015077239450,mdp.39015077239450,5872578,"Başar, Kürşat,",Kürşat,2007,1967,u,,Music by my bedside / | $c: Kürşat Başar ; [translated by Çiğdem Aksoy Fromm].,
uc1.b4439293,uc1.b4439293,6240235,"Dubin, William D.",William D,1968,1928,m,,The glitter and the gold.,
mdp.39015047649184,mdp.39015047649184,988227,"Bandyopādhyāẏa, Bibhūtibhūshaṇa,",Bibhūtibhūshaṇa,1973,1933,m,v.2,Pather panchali. | $c: Transcreated from the Bengali by Monika Varma.,
uc1.$b104057,uc1.$b104057,6602744,"Raphaelson, Dorshka.",Dorshka,1948,1908,u,,Morning song / | $c: Dorshka Raphaelson.,
uc1.32106009025179,uc1.32106009025179,2579377,"Picano, Felice,",Felice,1989,1949,m,,Men who loved me : | a memoir in the form of a novel / | $c: Felice Picano.,
uc1.$b105435,uc1.$b105435,6603548,"Shercliff, Jose.",Jose,1954,1914,m,,Jane Avril of the Moulin Rouge; | with 13 Toulouse-Lautrec drawings.,nonfic
uc1.b2838975,uc1.b2838975,10189557,"(Novelist) Murray, James",James,1932,1892,m,,Coloured. A glimpse of a quadroon girl.,
mdp.39015019957086,mdp.39015019957086,594018,"Read, Piers Paul,",Piers Paul,1986,1946,m,,The free Frenchman : | a novel / | $c: by Piers Paul Read.,
uc1.$b300888,uc1.$b300888,6534042,"Hobson, Coralie von Werner, Mrs.,",Coralie von Werner Mrs,1928,1888,u,,A tiny seed of love and other stories ...,
mdp.49015003393791,mdp.49015003393791,4467435,"Lovecraft, H. P. (Howard Phillips),",H. P. Howard Phillips,1963,1890,m,,The Dunwich horror and others / | $c: H.P. Lovecraft ; selected by August Derleth ; with texts edited by S.T. Joshi ; and an introduction by Robert Bloch.,genre
uc1.b4951396,uc1.b4951396,9495827,"Phillips, J. J.,",J. J,1985,1945,u,,Mojo hand : | an orphic tale / | $c: J.J. Phillips,
mdp.39015033969299,mdp.39015033969299,2970810,"Fauset, Jessie Redmon.",Jessie Redmon,1990,1950,f,,Plum bun : | a novel without a moral / | $c: Jessie Redmon Fauset ; with an introduction by Deborah E. McDowell.,
uc1.$b243100,uc1.$b243100,6497897,"Heyward, DuBose,",DuBose,1929,1885,m,,The half pint flask | $c: [by] Du Bose Heyward.,
uc1.$b86315,uc1.$b86315,6592878,"Baumer, Marie,",Marie,1949,1909,f,,The seeker and the sought / | $c: by Marie Baumer.,
uc1.b3862166,uc1.b3862166,754137,"Pinget, Robert.",Robert,1978,1938,m,,Passacaglia : | a novel / | $c: Robert Pinget ; translated by Barbara Wright.,
uc1.$b803497,uc1.$b803497,9951081,"Yeulett, M.",M,1939,1899,u,,"The graven image,",
mdp.39015000634546,mdp.39015000634546,537312,"Lawson, Henry,",Henry,1944,1867,m,,Three stories.,
uc1.b4450936,uc1.b4450936,2443221,"Fraser, Margot,",Margot,1990,1950,f,,The laying out of Gussie Hoot / | $c: Margot Fraser.,
mdp.39015007067815,mdp.39015007067815,592160,"Koestler, Arthur,",Arthur,1972,1905,m,,The call-girls: | a tragi-comedy with prologue and epilogue.,
mdp.39015001455750,mdp.39015001455750,101391,,,1982,1942,u,,Speculations / | $c: edited by Isaac Asimov and Alice Laurance.,genre
wu.89093078210,wu.89093078210,5792258,"Schroeder, Heather Lee.",Heather Lee,2006,1966,f,,Luck child / | $c: by Heather Lee Schroeder.,
mdp.39015021862308,mdp.39015021862308,2473454,"Morrison, Toni.",Toni,1989,1949,f,c.1,Song of Solomon / | $c: Toni Morrison.,
mdp.39076002266307,mdp.39076002266307,9926967,"Brink, Carol Ryrie,",Carol Ryrie,1941,1895,f,,Lad with a whistle / | $c: by Carol Ryrie Bink ; illustrated by Robert Ball.,
mdp.39015000523301,mdp.39015000523301,1194983,"(Pelham Grenville), Wodehouse, P. G.",Wodehouse P. G,1935,1881,m,,"Jill the reckless,",
pst.000068979775,pst.000068979775,12277102,"Dixon, Peter L.,",Peter L,1966,1926,m,,Men and waves : | a treasury of surfing / | $c: by Peter L. Dixon.,
mdp.39015040069356,mdp.39015040069356,3955296,"Kersh, Jack.",Jack,1997,1957,m,,Hotel Sarajevo / | $c: Jack Kersh.,
uc1.b4450144,uc1.b4450144,6242035,"Zimmerman, Bruce.",Bruce,1991,1951,m,,Thicker than water : | a novel / | $c: by Bruce Zimmerman.,
mdp.39015002341173,mdp.39015002341173,1111794,"García Márquez, Gabriel,",Gabriel,1972,1932,m,,"Leaf storm, and other stories. | $c: Translated from the Spanish by Gregory Rabassa. -",
mdp.39015031297578,mdp.39015031297578,633428,"Mitchell, Paige.",Paige,1967,1927,u,,Love is not a safe country.,
uc1.b4091004,uc1.b4091004,1910891,"Powell, Anthony,",Anthony,1953,1905,m,copy 2,What's become of Waring.,
mdp.39015030716156,mdp.39015030716156,1186229,"Stanley, Edward,",Edward,1949,1909,m,,The rock cried out.,
pst.000021813252,pst.000021813252,12257006,"McIntyre, Vonda N.",Vonda N,1984,1944,f,,Star Trek III : | the search for Spock / | $c: Vonda N. McIntyre.,genre
mdp.39015071556099,mdp.39015071556099,3149331,"Jackson, Harold Charles Le Baron,",Harold Charles Le Baron,1945,1894,m,,'Round corners | $c: [by] H. C. L. Jackson; drawings by Jim Donahue.,
mdp.39015003940486,mdp.39015003940486,758750,"Gifford, Thomas.",Thomas,1979,1939,m,,Hollywood gothic / | $c: by Thomas Gifford.,
uc1.$b85963,uc1.$b85963,472228,"Benstead, C. R. (Charles Richard),",C. R. Charles Richard,1930,1890,m,,"Retreat, | a novel of 1918.",
mdp.39015049188124,mdp.39015049188124,626201,"Cleary, Jon,",Jon,1971,1917,m,,The liberators.,
uc2.ark:/13960/t78s4k72s,uc2.ark:/13960/t78s4k72s,7666636,"Marquis, Don,",Don,1923,1878,m,,Hermione and her little group of serious thinkers / | $c: by Don Marquis.,
mdp.39015030727146,mdp.39015030727146,666514,"Condon, Richard.",Richard,1961,1921,m,,"A talent for loving; or, The great cowboy race, | a novel.",
mdp.39015053746965,mdp.39015053746965,4213767,"Harun, Adrianne.",Adrianne,2001,1961,f,,The king of limbo and other stories / | $c: Adrianne Harun.,
uc1.b2839866,uc1.b2839866,7333963,"Kraemer, Lillian Rosa.",Lillian Rosa,1968,1928,f,,My cousin Jaspar : | a novel of our times / | $c: Lillian Rosa Kraemer.,
mdp.39015048708682,mdp.39015048708682,624072,"Chamberlain, Elinor.",Elinor,1953,1913,f,,The far command.,
uc1.b3475417,uc1.b3475417,6662605,"Jay, Simon.",Simon,1968,1928,m,,Sleepers can kill.,
mdp.39015016453204,mdp.39015016453204,359862,"Baron, Stanley Wade,",Stanley Wade,1953,1913,m,,"People and Americans, | a memoir of transatlantic tourists.",
mdp.39015064689659,mdp.39015064689659,5225815,"Amdahl, Gary,",Gary,2006,1966,m,,Visigoth : | stories / | $c: Gary Amdahl,
osu.32435074590316,osu.32435074590316,100826356,"Young, Chic,",Chic,1948,1901,u,,Blondie : | no dull moments / | $c: based on the famous newspaper strip by Chic Young.,
uc1.b3311933,uc1.b3311933,912479,"Symons, Arthur,",Arthur,1924,1865,m,v.5,The collected works of Arthur Symons.,
uc1.$b103164,uc1.$b103164,633255,"Mittelhölzer, Edgar.",Edgar,1955,1915,m,,"Hubertus, | a novel.",
mdp.39076002365158,mdp.39076002365158,9927320,"Heyliger, William,",William,1925,1884,m,,Quinby and son / | $c: by William Heyliger.,
uc1.32106012730898,uc1.32106012730898,7132634,,,1944,1904,u,,"The story of Sir Gawain and the Green knight, | $c: in modern English by M.R. Ridley...With eight colour plates by Hope Bourne",
pst.000005450671,pst.000005450671,7031390,"Welcome, John,",John,1959,1914,m,,Stop at nothing / | $c: by John Welcome [pseud.,
uc1.$b105367,uc1.$b105367,6603511,"O'Hara, Mary.",Mary,1952,1912,f,,The son of Adam Wyngate.,
mdp.39015026637325,mdp.39015026637325,1260645,"Sir, Scott, Ernest,",Scott Ernest,1929,1868,m,v.2,Australian discovery. | $c: Edited with an introduction by Ernest Scott.,
mdp.39015001533325,mdp.39015001533325,459470,"Maugham, W. Somerset (William Somerset),",W. Somerset William Somerset,1953,1874,m,v.2,The selected novels of W. Somerset Maugham.,
inu.32000009540537,inu.32000009540537,7587640,"Jewell, Derek.",Derek,1971,1931,m,,"Come in number one, your time is up.",
uc1.32106013284978,uc1.32106013284978,7131991,"Hartog, Diana",Diana,1996,1956,f,,The photographer's sweethearts / | $c: Diana Hartog,
mdp.39015014147816,mdp.39015014147816,744074,"Burgess, Anthony,",Anthony,1980,1917,m,,Earthly powers / | $c: Anthony Burgess.,
uc1.b4369269,uc1.b4369269,6210070,"Fuentes, Carlos.",Carlos,1972,1932,m,,Holy place / | $c: Carlos Fuentes ; translated by Suzanne Jill Levine.,
uc1.$b56451,uc1.$b56451,6575901,"Cummins, Geraldine Dorothy,",Geraldine Dorothy,1939,1899,f,,"When Nero was dictator, | $c: by Geraldine Cummins. Introduction by A.H.E. Lee.",
mdp.39015005169670,mdp.39015005169670,633831,"Moorcock, Michael,",Michael,1972,1932,m,,An alien heat.,genre
mdp.39015063326204,mdp.39015063326204,5227809,"Maillu, David G.,",David G,2005,1965,m,,"Precious blood / | $c: David Maillu ; illustrations, Robert Kambo.",
inu.30000116458773,inu.30000116458773,7588006,"Aldiss, Brian Wilson,",Brian Wilson,2007,1967,m,,Harm / | $c: Brian W. Aldiss.,
uc1.$b245122,uc1.$b245122,6499256,"Tarkington, Booth,",Booth,1926,1869,m,,Women / | $c: by Booth Tarkington.,
pst.000047318182,pst.000047318182,7048825,,,1969,1929,u,v.3,Stories by foreign authors.,
mdp.39015060058974,mdp.39015060058974,4743150,"Thomas, Scarlett.",Scarlett,2004,1964,f,,Going out / | $c: Scarlett Thomas.,
mdp.39076002287840,mdp.39076002287840,9926856,"Jackson, C. Paul (Caary Paul),",C. Paul Caary Paul,1952,1912,m,,Little Leaguer's first uniform / | $c: C. Paul Jackson ; illustrated by Charles Klinger.,
mdp.39015034268378,mdp.39015034268378,2987601,"Izquierdo, Agustina.",Agustina,1994,1954,f,,An indecent recollection / | $c: Agustina Izquierdo ; translated by Paul Weidmann.,
uc1.$b63874,uc1.$b63874,6580156,"Wallach, Ira Jan,",Ira Jan,1947,1907,m,,"The horn and the roses, | a novel based on the life of Peter-Paul Rubens.",
inu.30000078573916,inu.30000078573916,4302840,"Guruva, Danai.",Danai,2000,1960,u,,The double marriage payment : | some tall tales from the Shona of Zimbabwe / | $c: Danai Guruva.,
mdp.39015008940747,mdp.39015008940747,1025115,"Bowen, Elizabeth,",Elizabeth,1968,1899,f,,"Eva Trout; | or, Changing scenes.",
uc1.b4390013,uc1.b4390013,3107692,,,1987,1947,u,,The Soviet character : | short stories ; [translated from the Russian].,
uc1.$b193963,uc1.$b193963,6657914,"Askildsen, Kjell,",Kjell,1994,1954,u,,A sudden liberating thought : | selected stories / | $c: Kjell Askildsen ; translated and with an introduction by Sverre Lyngstad.,
uc1.b3435133,uc1.b3435133,6294307,"Greenan, Russell H.",Russell H,1969,1929,m,,It happened in Boston? | $c: [By] Russell H. Greenan.,
mdp.39015025236947,mdp.39015025236947,2559085,"Saer, Juan José,",Juan José,1990,1937,m,,The witness / | $c: Juan José Saer ; translated by Margaret Jull Costa.,
inu.32000011048917,inu.32000011048917,6058809,"Oliver, John Rathbone,",John Rathbone,1936,1872,m,,"Greater love, | $c: by John Rathbone Oliver.",
wu.89090070707,wu.89090070707,5746126,"Ryan, Cuthbert Denis.",Cuthbert Denis,1936,1896,m,,Wisconsin Indian legends / | $c: by Cuthbert Denis Ryan.,
mdp.49015001473991,mdp.49015001473991,4532217,"Bouton, Jim.",Jim,1994,1954,m,,Strike zone / | $c: by Jim Bouton and Eliot Asinof.,
mdp.39015051862954,mdp.39015051862954,810225,,,1986,1946,u,,Reamker (Rāmakerti) : | the Cambodian version of the Rāmāyaṇa / | $c: translated by Judith M. Jacob with the assistance of Kuoch Haksrea.,
uc1.b4463154,uc1.b4463154,9519083,"Knight, Damon,",Damon,1985,1922,m,,Late Knight edition / | $c: Damon Knight.,
uc1.$b307364,uc1.$b307364,6538117,"Graham, Harry,",Harry,1934,1874,m,,Harry Graham / | $c: edited by E.V. Knox.,
uc1.$b807514,uc1.$b807514,9950118,"Olivy, D. J.",D. J,1970,1930,u,,Never ask a policeman | $c: [by] D. J. Olivy.,
mdp.39015014316312,mdp.39015014316312,1094023,"Herzhaft, Gérard.",Gérard,1988,1948,u,,Long blues in A minor / | $c: Gérard Herzhaft ; translated by John DuVal.,
mdp.39015061272939,mdp.39015061272939,5112029,,,2004,1964,u,,Wind flowers : | contemporary Malayalam short fiction / | $c: edited by V. Abdulla and R.E. Asher.,
uc1.32106016892835,uc1.32106016892835,4172422,"Murakami, Haruki,",Haruki,2001,1961,m,,The sputnik sweetheart : | a novel / | $c: by Haruki Murakami ; translated from the Japanese by Philip Gabriel,
mdp.39015005859064,mdp.39015005859064,480517,"Hurne, Ralph.",Ralph,1973,1933,m,,The yellow jersey.,
uc1.$b149299,uc1.$b149299,6630001,"Walder, David.",David,1967,1927,m,,The gift bearers.,
mdp.39015042046329,mdp.39015042046329,3294937,"Vakil, Ardashir,",Ardashir,1997,1957,u,,Beach boy / | $c: Ardashir Vakil.,
uc1.b4929452,uc1.b4929452,30491,"Singer, Isaac Bashevis,",Isaac Bashevis,1979,1904,m,,Old love / | $c: Isaac Bashevis Singer.,
mdp.39015001184004,mdp.39015001184004,3796939,"Joaquin, Nick.",Nick,1979,1939,m,v.2,"Pop stories for groovy kids / | $c: Nick Joaquin, [ill. by] Jess Abrera ... [et al.].",
inu.30000022249449,inu.30000022249449,7590947,"Ekwensi, Cyprian.",Cyprian,1964,1924,m,,The passport of Mallam Ilia / | $c: Cyprian Ekwensi.,
mdp.39015019759342,mdp.39015019759342,631024,"McCarthy, Mary,",Mary,1952,1912,f,,The groves of Academe.,
mdp.39076002945975,mdp.39076002945975,9929422,,,1945,1905,u,,"The best American short stories, 1945 : | and the yearbook of the American short story / | $c: edited by Martha Foley ; with decorations by Angna Enters.",
mdp.39015061446343,mdp.39015061446343,5025378,"Hill, Susan,",Susan,2005,1965,f,,The pure in heart / | $c: Susan Hill.,
mdp.39015005458644,mdp.39015005458644,1375727,"Eddison, Eric Rucker,",Eric Rucker,1958,1882,m,,The Mezentian Gate.,
mdp.39015066848535,mdp.39015066848535,5343278,"Lerner, Edward M.",Edward M,2006,1966,m,,Creative destruction / | $c: Edward M. Lerner.,nonfic
uc1.b3945772,uc1.b3945772,1026754,"Margolies, Edward.",Edward,1970,1930,m,,A native sons reader.,
mdp.39015059414659,mdp.39015059414659,158017,"McKenna, Stephen,",Stephen,1923,1883,m,,"The commandment of Moses; | a novel, | $c: by Stephen McKenna.",
inu.30000118529332,inu.30000118529332,6943254,,,1957,1917,u,v.2,Folk tales from China; | 1st series.,
uc1.b4951184,uc1.b4951184,9502391,"McBain, Ed,",Ed,1973,1926,m,,Hail to the chief; | an 87th precinct mystery | $c: [by] Ed McBain,genre
