docid,volid,recordid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
11833,wu.89017654567,,"Jewsbury, Geraldine Endsor,",,1855,,f,2,Constance Herbert
11833,wu.89017654575,,"Jewsbury, Geraldine Endsor,",,1855,,f,3,Constance Herbert
1309,uc2.ark+=13960=t6c24sm8h,,"Schubin, Ossip,",,1897,,f,<blank>," O thou, my Austria!"
6744,njp.32101066919174,,"Schubin, Ossip,",,1889,,f,<blank>,Erlach court
7697,njp.32101066919760,,"Schubin, Ossip,",,1891,,f,<blank>,Countess Erika's apprenticeship
9539,uiuo.ark+=13960=t22b9mp83,,"Gunning,",,1808,,f,v.1,The exile of Erin
9539,uiuo.ark+=13960=t5z614h53,,"Gunning,",,1808,,f,v.2,The exile of Erin
13231,mdp.39015024477674,,"Gunning,",,1792,,f,v.1,Anecdotes of the Delborough family
13231,mdp.39015024477625,,"Gunning,",,1792,,f,v.2,Anecdotes of the Delborough family
13231,mdp.39015024477617,,"Gunning,",,1792,,f,v.3,Anecdotes of the Delborough family
13231,mdp.39015024477682,,"Gunning,",,1792,,f,v.4,Anecdotes of the Delborough family
13231,mdp.39015024477732,,"Gunning,",,1792,,f,v.5,Anecdotes of the Delborough family
13232,mdp.39015063931482,,"Gunning,",,1794,,f,v.1,Memoirs of Mary
13232,mdp.39015063931490,,"Gunning,",,1794,,f,v.2,Memoirs of Mary
13232,mdp.39015063931474,,"Gunning,",,1794,,f,v.3,Memoirs of Mary
13232,mdp.39015063931466,,"Gunning,",,1794,,f,v.4,Memoirs of Mary
13232,mdp.39015063931458,,"Gunning,",,1794,,f,v.5,Memoirs of Mary
13558,nyp.33433074955117,,"Gunning,",,1794,,f,v. 1,The packet
13558,nyp.33433074955125,,"Gunning,",,1794,,f,v. 2,The packet
13558,nyp.33433074955133,,"Gunning,",,1794,,f,v. 3,The packet
546,mdp.39015041914220,,"Cable, George Washington,",,1883,,m,v.1,Old Creole days
878,uc2.ark+=13960=t6sx65984,,"Cable, George Washington,",,1886,,m,<blank>,The Grandissimes
3609,mdp.39015030736238,,"Cable, George Washington,",,1881,,m,<blank>,Madame Delphine
7966,inu.39000005935585,,"Cable, George Washington,",,1889,,m,<blank>,Strange true stories of Louisiana
8815,uc2.ark+=13960=t9w08x804,,"Cable, George Washington,",,1898,,m,<blank>,Dr. Sevier
11478,inu.32000001394248,,"Cable, George Washington,",,1894,,m,<blank>,John March
11731,mdp.39015030736246,,"Cable, George Washington,",,1888,,m,<blank>,Bonaventure
147,njp.32101068159118,,"Southworth, Emma Dorothy Eliza Nevitte,",,1856,,f,<blank>,Retribution
838,njp.32101065768796,,"Southworth, Emma Dorothy Eliza Nevitte,",,1886,,f,<blank>,To his fate
1026,nyp.33433075751754,,"Southworth, Emma Dorothy Eliza Nevitte,",,1872,,f,<blank>,The artist's love
1028,nyp.33433075751267,,"Southworth, Emma Dorothy Eliza Nevitte,",,1865,,f,<blank>,Allworth Abbey
1850,nyp.33433076022726,,"Southworth, Emma Dorothy Eliza Nevitte,",,1869,,f,<blank>,The prince of darkness
2152,uc2.ark+=13960=t3tt4gv0v,,"Southworth, Emma Dorothy Eliza Nevitte,",,1875,,f,<blank>,The wife's victory;
2872,nyp.33433044121287,,"Southworth, Emma Dorothy Eliza Nevitte,",,1868,,f,<blank>,Fallen pride
2958,nyp.33433076022189,,"Southworth, Emma Dorothy Eliza Nevitte,",,1862,,f,<blank>,Love's labor won
2959,nyp.33433076022148,,"Southworth, Emma Dorothy Eliza Nevitte,",,1870,,f,<blank>,The maiden widow
3330,uc1.b3326102,,"Southworth, Emma Dorothy Eliza Nevitte,",,1890,,f,<blank>,The lost heir
4612,nyp.33433076022080,,"Southworth, Emma Dorothy Eliza Nevitte,",,1864,,f,<blank>,The bridal eve
5340,uc2.ark+=13960=t42r3qs83,,"Southworth, Emma Dorothy Eliza Nevitte,",,1884,,f,<blank>,For whose sake?
5346,uc2.ark+=13960=t2x34pd6t,,"Southworth, Emma Dorothy Eliza Nevitte,",,1890,,f,<blank>,Lilith
6218,njp.32101071962052,,"Southworth, Emma Dorothy Eliza Nevitte,",,1859,,f,<blank>,The lady of the Isle
8202,wu.89006965586,,"Southworth, Emma Dorothy Eliza Nevitte,",,1852,,f,<blank>,"The discarded daughter; or, The children of the isle"
8450,nyp.33433076022700,,"Southworth, Emma Dorothy Eliza Nevitte,",,1875,,f,<blank>,Vivia;
8677,uc2.ark+=13960=t7cr5qg0k,,"Southworth, Emma Dorothy Eliza Nevitte,",,1856,,f,<blank>,India
8687,nyp.33433076022718,,"Southworth, Emma Dorothy Eliza Nevitte,",,1874,,f,<blank>,Victor's triumph
9204,nyp.33433074808902,,"Southworth, Emma Dorothy Eliza Nevitte,",,1851,,f,<blank>,The mother-in-law
10396,nyp.33433076022064,,"Southworth, Emma Dorothy Eliza Nevitte,",,1869,,f,<blank>,The changed brides
10397,nyp.33433076022163,,"Southworth, Emma Dorothy Eliza Nevitte,",,1871,,f,<blank>,Cruel as the grave
10727,uc2.ark+=13960=t7br8nx69,,"Southworth, Emma Dorothy Eliza Nevitte,",,1869,,f,<blank>,How he won her
10822,nyp.33433076022197,,"Southworth, Emma Dorothy Eliza Nevitte,",,1863,,f,<blank>,The fatal marriage
11724,uc2.ark+=13960=t72v2f656,,"Southworth, Emma Dorothy Eliza Nevitte,",,1872,,f,<blank>,A noble lord
11725,nyp.33433076022734,,"Southworth, Emma Dorothy Eliza Nevitte,",,1855,,f,<blank>,"The missing bride : or, Miriam, the avenger"
11727,uc2.ark+=13960=t4bn9zx6j,,"Southworth, Emma Dorothy Eliza Nevitte,",,1890,,f,<blank>,The unloved wife
11879,njp.32101007782863,,"Southworth, Emma Dorothy Eliza Nevitte,",,1854,,f,<blank>,The lost heiress
12826,wu.89104490842,,"Southworth, Emma Dorothy Eliza Nevitte,",,1898,,f,<blank>,Brandon Coyle's wife
12828,wu.89104490966,,"Southworth, Emma Dorothy Eliza Nevitte,",,1850,,f,<blank>,The deserted wife
11317,nyp.33433074938378,,"Burts, Robert,",,1851,,m,<blank>,The scourge of the ocean;
12578,dul1.ark+=13960=t3611qf54,,"Farningham, Marianne,",,1892,,f,<blank>,Nineteen hundred?
458,coo.31924064973500,,"Braddon, M. E.",,1884,,f,v.2,Ishmael
458,coo.31924064973575,,"Braddon, M. E.",,1884,,f,v.3,Ishmael
459,coo.31924064986072,,"Braddon, M. E.",,1879,,f,v.2,Vixen
735,coo.31924064984911,,"Braddon, M. E.",,1883,,f,v.3,Phantom fortune
761,uc1.b250229,,"Braddon, M. E.",,1883,,f,v. 1,Phantom fortune
761,uc1.b250230,,"Braddon, M. E.",,1883,,f,v. 2,Phantom fortune
1884,coo.31924013522879,,"Braddon, M. E.",,1883,,f,<blank>,Flower and weed
2085,dul1.ark+=13960=t9863170h,,"Braddon, M. E.",,1884,,f,v.1,Ishmael
2933,inu.39000002330764,,"Braddon, M. E.",,1879,,f,v.1,Vixen
2933,inu.39000002330780,,"Braddon, M. E.",,1879,,f,v.3,Vixen
3807,uc2.ark+=13960=t4vh5n538,,"Braddon, M. E.",,1894,,f,v.2,Thou art the man
3807,uc2.ark+=13960=t9x066b4t,,"Braddon, M. E.",,1894,,f,v.3,Thou art the man
4397,uc2.ark+=13960=t9x064z1m,,"Braddon, M. E.",,1890,,f,<blank>,The trail of the serpent
5586,njp.32101064919184,,"Braddon, M. E.",,1872,,f,"vol.1 - vol.2, pt.1",Robert Ainsleigh
5586,njp.32101064919176,,"Braddon, M. E.",,1872,,f,"vol.2, pt.2 - vol.3",Robert Ainsleigh
5969,nc01.ark+=13960=t42r4pr6n,,"Braddon, M. E.",,1880,,f,<blank>,Just as I am
6379,njp.32101035230927,,"Braddon, M. E.",,1895,,f,<blank>,The octoroon
7207,uiuo.ark+=13960=t25b0q781,,"Braddon, M. E.",,1887,,f,v.1,Like and unlike
7207,uiuo.ark+=13960=t0jt08879,,"Braddon, M. E.",,1887,,f,v.2,Like and unlike
7633,uc1.b3327207,,"Braddon, M. E.",,1898,,f,<blank>,In high places
7920,coo.31924013523232,,"Braddon, M. E.",,1873,,f,v.1,Strangers and pilgrims;
7920,nyp.33433074929476,,"Braddon, M. E.",,1873,,f,v. 2,Strangers and pilgrims;
8878,inu.30000054510130,,"Braddon, M. E.",,1873,,f,v.2,Milly Darrell
8880,inu.30000007265501,,"Braddon, M. E.",,1863,,f,v.3,Eleanor's victory
8881,uc2.ark+=13960=t01z4824d,,"Braddon, M. E.",,1898,,f,<blank>,Rough justice
9702,uiuo.ark+=13960=t0zp4k66h,,"Braddon, M. E.",,1874,,f,v.1,Taken at the flood
9702,uiuo.ark+=13960=t4pk0xm82,,"Braddon, M. E.",,1874,,f,v.2,Taken at the flood
11315,dul1.ark+=13960=t8cg0gm9f,,"Braddon, M. E.",,1865,,f,<blank>,John Marchmont's legacy
11486,uiuo.ark+=13960=t6g16j476,,"Braddon, M. E.",,1873,,f,v.3,Strangers and pilgrims
12842,uiuo.ark+=13960=t3gx4v10k,,"Braddon, M. E.",,1862,,f,v.3,Lady Audley's secret
13131,nyp.33433074929484,,"Braddon, M. E.",,1868,,f,<blank>,The white phantom
13250,uiuo.ark+=13960=t7rn3q28p,,"Braddon, M. E.",,1868,,f,v.1,Dead-sea fruit
13250,uiuo.ark+=13960=t96690h86,,"Braddon, M. E.",,1868,,f,v.2,Dead-sea fruit
13250,uiuo.ark+=13960=t4cn7np5r,,"Braddon, M. E.",,1868,,f,v.3,Dead-sea fruit
13251,uiuo.ark+=13960=t6rx9sv16,,"Braddon, M. E.",,1876,,f,v.1,Dead men's shoes
13251,uiuo.ark+=13960=t6j10ks03,,"Braddon, M. E.",,1876,,f,v.2,Dead men's shoes
13251,uiuo.ark+=13960=t42r4c855,,"Braddon, M. E.",,1876,,f,v.3,Dead men's shoes
13292,uc1.b250238,,"Braddon, M. E.",,1892,,f,v. 1,The Venetians
13292,uc1.b250239,,"Braddon, M. E.",,1892,,f,v. 2,The Venetians
13292,uc1.b250240,,"Braddon, M. E.",,1892,,f,v. 3,The Venetians
13295,uc1.b250235,,"Braddon, M. E.",,1867,,f,v. 1,Rupert Godwin
13295,uc1.b250236,,"Braddon, M. E.",,1867,,f,v. 2,Rupert Godwin
13295,uc1.b250237,,"Braddon, M. E.",,1867,,f,v. 3,Rupert Godwin
13296,uc1.b250232,,"Braddon, M. E.",,1864,,f,v. 1,Henry Dunbar
13296,uc1.b250233,,"Braddon, M. E.",,1864,,f,v. 2,Henry Dunbar
13296,uc1.b250234,,"Braddon, M. E.",,1864,,f,v. 3,Henry Dunbar
13322,uiuo.ark+=13960=t0ft93q3m,,"Braddon, M. E.",,1873,,f,v.1,"Lucius Davoren, or, Publican and sinners"
13322,uiuo.ark+=13960=t8pc3hz1c,,"Braddon, M. E.",,1873,,f,v.2,"Lucius Davoren, or, Publican and sinners"
13322,uiuo.ark+=13960=t87h24b83,,"Braddon, M. E.",,1873,,f,v.3,"Lucius Davoren, or, Publican and sinners"
13351,dul1.ark+=13960=t9z03n328,,"Braddon, M. E.",,1876,,f,v.1,Joshua Haggard's daughter
13351,dul1.ark+=13960=t6931bj0z,,"Braddon, M. E.",,1876,,f,v.2,Joshua Haggard's daughter
13351,dul1.ark+=13960=t3zs37s7z,,"Braddon, M. E.",,1876,,f,v.3,Joshua Haggard's daughter
13464,uiuo.ark+=13960=t4vh62w7z,,"Braddon, M. E.",,1874,,f,v.1,Lost for love
13464,uiuo.ark+=13960=t1bk1x14z,,"Braddon, M. E.",,1874,,f,v.2,Lost for love
13464,uiuo.ark+=13960=t19k4w11x,,"Braddon, M. E.",,1874,,f,v.3,Lost for love
13530,uiuo.ark+=13960=t11n8pr8z,,"Braddon, M. E.",,1882,,f,v.1,Mount Royal
13530,uiuo.ark+=13960=t8sb4ph22,,"Braddon, M. E.",,1882,,f,v.2,Mount Royal
13530,uiuo.ark+=13960=t7qn6qt3z,,"Braddon, M. E.",,1882,,f,v.3,Mount Royal
13584,uiuo.ark+=13960=t6zw22598,,"Braddon, M. E.",,1877,,f,v.1,"Weavers and weft, and other tales"
13584,uiuo.ark+=13960=t3pv73f43,,"Braddon, M. E.",,1877,,f,v.2,"Weavers and weft, and other tales"
13584,uiuo.ark+=13960=t6j10nk07,,"Braddon, M. E.",,1877,,f,v.3,"Weavers and weft, and other tales"
13856,uiuo.ark+=13960=t0jt06h5n,,"Braddon, M. E.",,1881,,f,v.1,Asphodel
13856,uiuo.ark+=13960=t7hq4gp4t,,"Braddon, M. E.",,1881,,f,v.2,Asphodel
13856,uiuo.ark+=13960=t3kw5z086,,"Braddon, M. E.",,1881,,f,v.3,Asphodel
13952,uiuo.ark+=13960=t9960352k,,"Braddon, M. E.",,1865,,f,v.1,Sir Jasper's tenant
13952,uiuo.ark+=13960=t3tt5591t,,"Braddon, M. E.",,1865,,f,v.2,Sir Jasper's tenant
13952,uiuo.ark+=13960=t8w95qf50,,"Braddon, M. E.",,1865,,f,v.3,Sir Jasper's tenant
13973,uiuo.ark+=13960=t8bg37099,,"Braddon, M. E.",,1888,,f,v.1,The fatal three
13973,uiuo.ark+=13960=t9d515s4d,,"Braddon, M. E.",,1888,,f,v.2,The fatal three
13973,uiuo.ark+=13960=t2m62224d,,"Braddon, M. E.",,1888,,f,v.3,The fatal three
14047,uiuo.ark+=13960=t9p27dz0b,,"Braddon, M. E.",,1871,,f,v.1,Fenton's quest
14047,uiuo.ark+=13960=t6h13jw1b,,"Braddon, M. E.",,1871,,f,v.2,Fenton's quest
14047,uiuo.ark+=13960=t3qv42c6x,,"Braddon, M. E.",,1871,,f,v.3,Fenton's quest
14059,uiuo.ark+=13960=t19k4w526,,"Braddon, M. E.",,1868,,f,v.1,Charlotte's inheritance
14059,uiuo.ark+=13960=t44q8f849,,"Braddon, M. E.",,1868,,f,v.2,Charlotte's inheritance
14059,uiuo.ark+=13960=t5s75x520,,"Braddon, M. E.",,1868,,f,v.3,Charlotte's inheritance
14083,uiuo.ark+=13960=t7zk5wn5v,,"Braddon, M. E.",,1866,,f,v.1,The lady's mile
14083,uiuo.ark+=13960=t2k651j5k,,"Braddon, M. E.",,1866,,f,v.2,The lady's mile
14083,uiuo.ark+=13960=t1gj01z3b,,"Braddon, M. E.",,1866,,f,v.3,The lady's mile
14140,uiuo.ark+=13960=t3rv13h5t,,"Braddon, M. E.",,1880,,f,v.1,The story of Barbara
14140,uiuo.ark+=13960=t2s476m21,,"Braddon, M. E.",,1880,,f,v.2,The story of Barbara
14140,uiuo.ark+=13960=t2697pf21,,"Braddon, M. E.",,1880,,f,v.3,The story of Barbara
14282,uiuo.ark+=13960=t57d3dn41,,"Braddon, M. E.",,1889,,f,v.1,The day will come
14282,uiuo.ark+=13960=t6d22g069,,"Braddon, M. E.",,1889,,f,v.2,The day will come
14282,uiuo.ark+=13960=t3320g902,,"Braddon, M. E.",,1889,,f,v.3,The day will come
14299,uc1.b250226,,"Braddon, M. E.",,1891,,f,v. 1,Gerard
14299,uc1.b250227,,"Braddon, M. E.",,1891,,f,v. 2,Gerard
14299,uc1.b250228,,"Braddon, M. E.",,1891,,f,v. 3,Gerard
14322,dul1.ark+=13960=t8ff48s14,,"Braddon, M. E.",,1867,,f,v.1,Birds of prey
14322,dul1.ark+=13960=t0ns18511,,"Braddon, M. E.",,1867,,f,v.2,Birds of prey
14322,dul1.ark+=13960=t3320fk07,,"Braddon, M. E.",,1867,,f,v.3,Birds of prey
14328,uiuo.ark+=13960=t1wd4dc15,,"Braddon, M. E.",,1879,,f,v.1,The cloven foot
14328,uiuo.ark+=13960=t73v04187,,"Braddon, M. E.",,1879,,f,v.2,The cloven foot
14328,uiuo.ark+=13960=t3611kb0q,,"Braddon, M. E.",,1879,,f,v.3,The cloven foot
14386,uiuo.ark+=13960=t8v98pc5h,,"Braddon, M. E.",,1871,,f,v.1,The Lovels of Arden
14386,uiuo.ark+=13960=t4gm8r25w,,"Braddon, M. E.",,1871,,f,v.2,The Lovels of Arden
14386,uiuo.ark+=13960=t9x06n58w,,"Braddon, M. E.",,1871,,f,v.3,The Lovels of Arden
14420,mdp.39015011425439,,"Braddon, M. E.",,1865,,f,v.1,"Only a clod, in three vols"
14420,mdp.39015011425355,,"Braddon, M. E.",,1865,,f,v.2,"Only a clod, in three vols"
14420,mdp.39015011425348,,"Braddon, M. E.",,1865,,f,v.3,"Only a clod, in three vols"
14484,uiuo.ark+=13960=t6k07mn67,,"Braddon, M. E.",,1875,,f,v.1,Hostages to fortune;
14484,njp.32101065762294,,"Braddon, M. E.",,1875,,f,v.2,Hostages to fortune;
14484,uiuo.ark+=13960=t5r78w70b,,"Braddon, M. E.",,1875,,f,v.3,Hostages to fortune;
14507,uiuo.ark+=13960=t1wd4g35b,,"Braddon, M. E.",,1886,,f,v.1,One thing needful
14507,uiuo.ark+=13960=t2j682312,,"Braddon, M. E.",,1886,,f,v.2,One thing needful
14507,uiuo.ark+=13960=t4th93x3q,,"Braddon, M. E.",,1886,,f,v.3,One thing needful
14508,inu.39000002550999,,"Braddon, M. E.",,1864,,f,v.1,The doctor's wife
14508,inu.39000002551005,,"Braddon, M. E.",,1864,,f,v.2,The doctor's wife
14508,inu.39000002551013,,"Braddon, M. E.",,1864,,f,v.3,The doctor's wife
14548,nc01.ark+=13960=t8v990m5r,,"Braddon, M. E.",,1863,,f,v.1,Aurora Floyd
14548,nc01.ark+=13960=t5hb0039z,,"Braddon, M. E.",,1863,,f,v.2,Aurora Floyd
14548,nc01.ark+=13960=t3223rs8b,,"Braddon, M. E.",,1863,,f,v.3,Aurora Floyd
14618,uiuo.ark+=13960=t76t16s20,,"Braddon, M. E.",,1880,,f,v.1,Wyllard's weird
14618,uiuo.ark+=13960=t7hq4gr6p,,"Braddon, M. E.",,1880,,f,v.2,Wyllard's weird
14618,uiuo.ark+=13960=t2m622684,,"Braddon, M. E.",,1880,,f,v.3,Wyllard's weird
14775,uiuo.ark+=13960=t0gt64r1p,,"Braddon, M. E.",,1878,,f,v.1,An open verdict
14775,uiuo.ark+=13960=t4gm8r74n,,"Braddon, M. E.",,1878,,f,v.2,An open verdict
14775,uiuo.ark+=13960=t43r1dd5j,,"Braddon, M. E.",,1878,,f,v.3,An open verdict
14842,uiuo.ark+=13960=t2891r88v,,"Braddon, M. E.",,1875,,f,v.1,A strange world
14842,uiuo.ark+=13960=t7dr3d479,,"Braddon, M. E.",,1875,,f,v.2,A strange world
14842,uiuo.ark+=13960=t00z7qb46,,"Braddon, M. E.",,1875,,f,v.3,A strange world
15004,uiuo.ark+=13960=t9377zj20,,"Braddon, M. E.",,1893,,f,v.1,All along the river
15004,uiuo.ark+=13960=t4bp0pd11,,"Braddon, M. E.",,1893,,f,v.2,All along the river
15004,uiuo.ark+=13960=t3223hf8z,,"Braddon, M. E.",,1893,,f,v.3,All along the river
15079,uiuo.ark+=13960=t4gm8r35b,,"Braddon, M. E.",,1883,,f,v.1,The golden calf
15079,uiuo.ark+=13960=t9w09m945,,"Braddon, M. E.",,1883,,f,v.2,The golden calf
15079,uiuo.ark+=13960=t5gb2n32w,,"Braddon, M. E.",,1883,,f,v.3,The golden calf
9439,hvd.32044022677207,,"Maberly,",,1840,,f,v.3,Emily
13212,uiuo.ark+=13960=t11n8mb1c,,"Maberly,",,1841,,f,v.1,The love-match
13212,uiuo.ark+=13960=t5j96p68b,,"Maberly,",,1841,,f,v.2,The love-match
13212,uiuo.ark+=13960=t4pk0ww49,,"Maberly,",,1841,,f,v.3,The love-match
14667,njp.32101065859025,,"Maberly,",,1843,,f,v. 1,"Melanthe; or, The days of the Medici"
14667,njp.32101065859017,,"Maberly,",,1843,,f,v. 2,"Melanthe; or, The days of the Medici"
14667,njp.32101065859587,,"Maberly,",,1843,,f,v. 3,"Melanthe; or, The days of the Medici"
14864,uiuo.ark+=13960=t1tf09v79,,"Maberly,",,1855,,f,v.1,Display
14864,uiuo.ark+=13960=t6vx0w192,,"Maberly,",,1855,,f,v.2,Display
14864,uiuo.ark+=13960=t8ff4942h,,"Maberly,",,1855,,f,v.3,Display
2042,uiuo.ark+=13960=t63496648,,"Maturin, Charles Robert,",,1807,,m,v.2,"Fatal revenge; or, The family of Montorio"
2042,uiuo.ark+=13960=t3zs38t6b,,"Maturin, Charles Robert,",,1807,,m,v.3,"Fatal revenge; or, The family of Montorio"
2374,uc2.ark+=13960=t5n878d24,,"Maturin, Charles Robert,",,1824,,m,v.0002,The Albigenses
2374,uc2.ark+=13960=t6k073h5r,,"Maturin, Charles Robert,",,1824,,m,v.0004,The Albigenses
7131,nyp.33433074893037,,"Maturin, Charles Robert,",,1824,,m,v. 3,"The Albigenses, a romance. By the author of  Bertram"
9091,uc1.31158001441749,,"Maturin, Charles Robert,",,1821,,m,v.0001,Melmoth the wanderer: a tale
9091,uc1.31158006421456,,"Maturin, Charles Robert,",,1821,,m,v.0002,Melmoth the wanderer: a tale
10547,mdp.39015021039980,,"Maturin, Charles Robert,",,1892,,m,v.3,Melmoth the wanderer
14407,nnc1.0315131394,,"Maturin, Charles Robert,",,1812,,m,v.1,The Milesian chief. A romance
14407,nnc1.0043378170,,"Maturin, Charles Robert,",,1812,,m,v.2,The Milesian chief. A romance
14407,nnc1.0043378153,,"Maturin, Charles Robert,",,1812,,m,v.3,The Milesian chief. A romance
14407,nnc1.0043378161,,"Maturin, Charles Robert,",,1812,,m,v.4,The Milesian chief. A romance
14531,njp.32101038084727,,"Maturin, Charles Robert,",,1808,,m,vol.1,The wild Irish boy
14531,njp.32101038084735,,"Maturin, Charles Robert,",,1808,,m,vol.2,The wild Irish boy
14531,njp.32101038084743,,"Maturin, Charles Robert,",,1808,,m,vol.3,The wild Irish boy
6112,uiuo.ark+=13960=t6sx70f9q,,"Wallace, Ellen.",,1856,,f,v.1,Beyminstre
13937,uiuo.ark+=13960=t9c548f6z,,"Wallace, Ellen.",,1844,,f,v.1,Constance D'Oyley
13937,uiuo.ark+=13960=t6c25jv27,,"Wallace, Ellen.",,1844,,f,v.2,Constance D'Oyley
13937,uiuo.ark+=13960=t3st87v62,,"Wallace, Ellen.",,1844,,f,v.3,Constance D'Oyley
14149,uiuo.ark+=13960=t4wh37d6f,,"Wallace, Ellen.",,1846,,f,v.1,Margaret Capel
14149,uiuo.ark+=13960=t8sb4r697,,"Wallace, Ellen.",,1846,,f,v.2,Margaret Capel
14149,uiuo.ark+=13960=t2q538762,,"Wallace, Ellen.",,1846,,f,v.3,Margaret Capel
14382,uiuo.ark+=13960=t3jw91n0w,,"Wallace, Ellen.",,1840,,f,v.1,The clandestine marriage
14382,uiuo.ark+=13960=t3tt58s39,,"Wallace, Ellen.",,1840,,f,v.2,The clandestine marriage
14382,uiuo.ark+=13960=t9w09qv6j,,"Wallace, Ellen.",,1840,,f,v.3,The clandestine marriage
14521,uiuo.ark+=13960=t0bv84p5k,,"Wallace, Ellen.",,1852,,f,v.1,"Lena, or, The silent woman"
14521,uiuo.ark+=13960=t2s47b39b,,"Wallace, Ellen.",,1852,,f,v.2,"Lena, or, The silent woman"
14521,uiuo.ark+=13960=t8z89wr7v,,"Wallace, Ellen.",,1852,,f,v.3,"Lena, or, The silent woman"
14697,uiuo.ark+=13960=t5r790q9k,,"Wallace, Ellen.",,1848,,f,v.1,"Mr. Warrenne, the medical practitioner"
14697,uiuo.ark+=13960=t75t49798,,"Wallace, Ellen.",,1848,,f,v.2,"Mr. Warrenne, the medical practitioner"
14697,uiuo.ark+=13960=t6g16nh2z,,"Wallace, Ellen.",,1848,,f,v.3,"Mr. Warrenne, the medical practitioner"
1792,nyp.33433074935408,,"Cameron, H. Lovett,",,1888,,f,<blank>,A life's mistake
4631,nyp.33433074935275,,"Cameron, H. Lovett,",,1889,,f,<blank>,A lost wife
5990,uc2.ark+=13960=t3nv9bx75,,"Cameron, H. Lovett,",,1899,,f,<blank>,The craze pf Christina
6369,nyp.33433074935283,,"Cameron, H. Lovett,",,1897,,f,<blank>,A bachelor's bridal
6754,nyp.33433074934708,,"Cameron, H. Lovett,",,1899,,f,<blank>,A passing fancy
14261,uiuo.ark+=13960=t5db89q3z,,"Cameron, H. Lovett,",,1884,,f,v.1,Pure gold
14261,uiuo.ark+=13960=t6f197g9r,,"Cameron, H. Lovett,",,1884,,f,v.2,Pure gold
14261,uiuo.ark+=13960=t46q27f6c,,"Cameron, H. Lovett,",,1884,,f,v.3,Pure gold
2477,nyp.33433074799051,,"Fanny,",,1862,,f,<blank>,The wife's stratagem
3709,nyp.33433082524103,,"Fanny,",,1853,,f,<blank>,"Aunt Fanny's story book, for little boys and girls"
7442,njp.32101076515335,,"Fanny,",,1861,,f,<blank>,The fairy nightcaps
7443,njp.32101063603599,,"Fanny,",,1861,,f,<blank>,The big nightcap letters
8145,nyp.33433082524111,,"Fanny,",,1860,,f,<blank>,Baby nightcaps
10120,mdp.39015039602993,,"Fanny,",,1867,,f,<blank>,The third little pet book
10779,wu.89098010028,,"Fanny,",,1864,,f,<blank>,One big pop-gun
3312,nyp.33433034411177,,"Westbury, Hugh.",,1898,,m,<blank>,Acte
2129,uiuo.ark+=13960=t6k07np7k,,"Jerrold, Douglas William,",,1846,,m,v.1,Men of character
2129,uiuo.ark+=13960=t5db8mb3r,,"Jerrold, Douglas William,",,1846,,m,v.3,Men of character
5620,mdp.39015023536017,,"Jerrold, Douglas William,",,1874,,m,<blank>,The barber's chair
12222,uc2.ark+=13960=t5t72dv0z,,"Jerrold, Douglas William,",,1847,,m,<blank>,The chronicles of Clovernook
12224,hvd.hw1vns,,"Jerrold, Douglas William,",,1839,,m,v.2,"Adam Buff, and other men of character"
12978,uc2.ark+=13960=t19k4bx8b,,"Jerrold, Douglas William,",,1852,,m,<blank>,Cakes and ale
4801,mdp.39076002232101,,"Smith, Francis Benjamin.",,1870,,m,<blank>,"Clem and Joyce, or, The prairie school"
12504,uc2.ark+=13960=t0ms3mm8t,,"Smith, Francis Benjamin.",,1873,,m,<blank>,"May, or, Grandpapa's pet"
8131,uc2.ark+=13960=t8sb3zs13,,"Young, Ernest A.",,1885,,m,<blank>,A wife's honor
11359,nyp.33433082269535,,"Vervins, Nicolas Alfred de.",,1882,,m,<blank>,Musical mosaic
5145,nyp.33433074861349,,"Howard, Mabel,",,1899,,f,<blank>,The undoing of John Brewster
2001,nyp.33433066604368,,"Berquin,",,1854,,m,<blank>,The children's companion
2503,dul1.ark+=13960=t6737pj6n,,"Berquin,",,1804,,m,<blank>,"The looking-glass for the mind; or, Intellectual mirror"
8801,hvd.hn2ggw,,"Berquin,",,1841,,m,<blank>,Village stories
13297,nyp.33433066604350,,"Berquin,",,1833,,m,v. 1,The children's friend;
13297,nyp.33433066604343,,"Berquin,",,1833,,m,v. 2,The children's friend;
13297,nyp.33433066604327,,"Berquin,",,1833,,m,v. 4,The children's friend;
13455,hvd.hn2ghx,,"Berquin,",,1788,,m,v.3,The children's friend
13455,dul1.ark+=13960=t6058g653,,"Berquin,",,1788,,m,v.1-2,The children's friend
13455,dul1.ark+=13960=t7tm84f1c,,"Berquin,",,1788,,m,v.3-4,The children's friend
221,njp.32101068175205,,"Bynner, Edwin Lassetter,",,1891,,m,<blank>,The chase of the Meteor
1544,njp.32101068175213,,"Bynner, Edwin Lassetter,",,1877,,m,<blank>,Nimport
2938,mdp.39015013150704,,"Bynner, Edwin Lassetter,",,1892,,m,<blank>,Zachary Phips
8166,njp.32101068175221,,"Bynner, Edwin Lassetter,",,1878,,m,<blank>,Tritons
8695,mdp.39015059375942,,"Bynner, Edwin Lassetter,",,1881,,m,<blank>,Damen's ghost
9191,mdp.39015059375926,,"Bynner, Edwin Lassetter,",,1887,,m,<blank>,Penelope's suitors
12464,mdp.39015059375959,,"Bynner, Edwin Lassetter,",,1886,,m,<blank>,Agnes Surriage
